name,shipping_price,price
iPod Nano,0.00,148.25
iPod shuffle,0.00,78.60
MacBook Air,0.00,1789.97
MacBook,0.00,1392.98
iPod touch,0.00,287.55
Belkin Leather Folio for iPod nano - Black / Chocolate,100.00,29.80
Shure SE210 Sound-Isolating Earphones for iPod and iPhone,0.00,148.25
Melissa & Doug - Türriegel Geschicklichkeitsspiel,100.00,21.90
Melissa & Doug - Lernuhr aus Holz,100.00,16.95
Melissa & Doug - 20 Holztiermagneten in einer Box,100.00,11.96
Melissa & Doug - Türriegel Geschicklichkeitsspiel,100.00,21.90
Melissa & Doug - Lernuhr aus Holz,100.00,16.95
Melissa & Doug - 20 Holztiermagneten in einer Box,100.00,11.96
Melissa & Doug - Türriegel Geschicklichkeitsspiel,100.00,21.90
Melissa & Doug - Lernuhr aus Holz,100.00,16.95
Melissa & Doug - 20 Holztiermagneten in einer Box,100.00,11.96
Melissa & Doug - Türriegel Geschicklichkeitsspiel,100.00,21.90
Melissa & Doug - Lernuhr aus Holz,100.00,16.95
Melissa & Doug - 20 Holztiermagneten in einer Box,100.00,11.96
present1,100.00,0.00
Arturo Fuente Classic Canones,100.00,12.02
Arturo Fuente Classic Canones 20er Kiste,0.00,240.38
Blanco Classic Candela,100.00,4.40
Blanco Classic Candela 25er Kiste,0.00,110.08
Blanco Classics,100.00,4.40
Blanco Classics 25er Kiste,0.00,110.08
Blanco Diplomats,100.00,4.76
Blanco Diplomats 25er Kiste,0.00,119.00
Blanco Lancers,100.00,3.81
Blanco Lancers 25er Kiste,0.00,95.20
Blanco Platinum,100.00,4.05
Blanco Platinum 25er Kiste,0.00,101.15
Blanco Prelude,100.00,3.45
Blanco Prelude 25er Kiste,0.00,86.28
Blanco Premiers,100.00,4.28
Blanco Premiers 25er Kiste,0.00,107.10
Blanco Robusto,100.00,4.76
Blanco Robusto 25er Kiste,0.00,119.00
Blanco Torpedo,100.00,5.12
Blanco Torpedo 25er Kiste,0.00,127.93
Dominican Estates Churchill,100.00,3.93
Dominican Estates Churchill 25er Kiste,0.00,98.18
Dominican Estates Corona Glas-Tube 25er Kise,0.00,101.15
Dominican Estates Lonsdale,100.00,3.69
Dominican Estates Lonsdale 25er  Kiste,0.00,92.23
Dominican Estates Petit Corona,100.00,3.09
Dominican Estates Petit Corona 25er Kiste,0.00,77.35
Dominican Estates Pyramide,100.00,4.40
Dominican Estates Pyramide 25er Kiste,0.00,110.08
Dominican Estates Robusto,100.00,3.57
Dominican Estates Robusto 25er Kiste,0.00,89.25
Dominican Estates Slim Panetela,100.00,2.86
Dominican Estates Slim Panetela 25er Kiste,0.00,71.40
Don Diego Classic Coronas Major Tube,100.00,7.50
Don Diego Classic Coronas Major Tube 25er Kiste,0.00,187.43
Don Diego Classic Minutos,100.00,2.62
Don Diego Classic Minutos 20er Kiste,0.00,52.36
Don Diego Classic Monarch Tube,100.00,9.52
Don Diego Classic Monarch Tube 10er Kiste,0.00,95.20
Don Diego Classic Perlas,100.00,3.57
Don Diego Classic Perlas 20er Kiste,0.00,71.40
Don Diego Classic Preludes 10er Kiste,100.00,15.47
Don Diego Classic Robusto,100.00,6.66
Don Diego Classic Robusto 25er Kiste,0.00,166.60
Don Diego Classic Slim Panetela,100.00,4.52
Don Diego Classic Slim Panetela 25er Kiste,0.00,113.05
Flor de Copán Classic Belicoso,100.00,6.31
Flor de Copán Classic Belicoso 20er Kiste,0.00,126.14
Flor de Copán Classic Churchill,100.00,6.66
Flor de Copán Classic Churchill 20er Kiste,0.00,133.28
Flor de Copán Classic Corona,100.00,5.00
Flor de Copán Classic Corona 20er Kiste,0.00,99.96
Flor de Copán Classic Demi Tasse,100.00,4.52
Flor de Copán Classic Demi Tasse 20er Kiste,0.00,90.44
Flor de Copán Classic Gordito,100.00,5.71
Flor de Copán Classic Gordito 20er Kiste,0.00,114.24
Flor de Copán Classic Monarcas Tube,100.00,8.09
Flor de Copán Classic Monarcas Tube 14er Kiste,0.00,113.29
Flor de Copán Classic Rothshild,100.00,5.47
Flor de Copán Classic Rothshild 20er Kiste,0.00,109.48
Flor de Copán Classic Short Magnum,100.00,5.71
Flor de Copán Classic Short Magnum 20er Kiste,0.00,114.24
Flor de Copán Classic Short Robusto,100.00,5.47
Flor de Copán Classic Short Robusto 20er Kiste,0.00,109.48
Flor de Copán Classic Titán,100.00,6.90
Flor de Copán Classic Titán 20er Kiste,0.00,138.04
Flor de Copán Classic Toro,100.00,5.95
Flor de Copán Classic Toro 20er Kiste,0.00,119.00
Flor de Copán Linea Puros Churchill,100.00,7.85
Flor de Copán Linea Puros Churchill 20er Kiste,0.00,157.08
Flor de Copán Linea Puros Corona,100.00,6.90
Flor de Copán Linea Puros Corona 20er Kiste,0.00,138.04
Flor de Copán Linea Puros Robusto,100.00,7.38
Flor de Copán Linea Puros Robusto 20er Kiste,0.00,147.56
Flor de Copán Maduro Belicoso,100.00,6.31
Flor de Copán Maduro Belicoso 20er Kiste,0.00,126.14
Flor de Copán Maduro Demi Tasse,100.00,4.52
Flor de Copán Maduro Demi Tasse 20er Kiste,0.00,90.44
Flor de Copán Maduro Gordito,100.00,5.71
Flor de Copán Maduro Gordito 20er Kiste,0.00,114.24
Mustique Blue Churchill,100.00,2.62
Mustique Blue Churchill 10er Kiste,100.00,26.18
Mustique Blue Corona,100.00,2.38
Mustique Blue Corona 10er Kiste,100.00,23.80
Mustique Blue Lonsdale,100.00,2.38
Mustique Blue Lonsdale 10er Kiste,100.00,23.80
Mustique Blue Petit Corona,100.00,2.26
Mustique Blue Petit Corona 10er Kiste,100.00,22.61
Mustique Blue Robusto,100.00,2.50
Mustique Blue Robusto 10er Kiste,100.00,24.99
Mustique Blue Slim Panetela,100.00,2.14
Mustique Blue Slim Panetela 10er Kiste,100.00,21.42
Mustique Red Churchill,100.00,2.86
Mustique Red Churchill 10er Kiste,100.00,28.56
Mustique Red Corona,100.00,2.62
Mustique Red Corona 10er Kiste,100.00,26.18
Mustique Red Petit Corona,100.00,2.50
Mustique Red Petit Corona 10er Kiste,100.00,24.99
Mustique Red Robusto,100.00,2.74
Mustique Red Robusto 10er Kiste,100.00,27.37
Mustique Red Toro,100.00,2.74
Mustique Red Toro 10er Kiste,100.00,27.37
Santa Damiana Classic Corona Glas-Tube,100.00,7.38
Santa Damiana Classic Corona Glas-Tube 10er Kiste,0.00,73.78
Santa Damiana Classic Minutos,100.00,2.62
Santa Damiana Classic Minutos 20er Kiste,0.00,52.36
Santa Damiana Classic Panetela,100.00,5.12
Santa Damiana Classic Panetela 25er Kiste,0.00,127.93
Santa Damiana Classic Perlas,100.00,3.81
Santa Damiana Classic Perlas 20er Kiste,0.00,76.16
Santa Damiana Classic Petit Corona,100.00,5.24
Santa Damiana Classic Petit Corona 25er Kiste,0.00,130.90
Santa Damiana Classic Short Robusto,100.00,6.19
Santa Damiana Classic Short Robusto 25er Kiste,0.00,154.70
Santa Damiana Classic Tubulares Extra,100.00,7.85
Santa Damiana Classic Tubulares Extra 25er Kiste,0.00,196.35
Santa Damiana Selección Especial Churchill,100.00,9.16
Santa Damiana Selección Especial Churchill 10er Kiste,0.00,91.63
Santa Damiana Selección Especial Corona,100.00,7.74
Santa Damiana Selección Especial Corona 10er Kiste,0.00,77.35
Santa Damiana Selección Especial Panetela,100.00,7.02
Santa Damiana Selección Especial Panetela 10er Kiste,0.00,70.21
Santa Damiana Selección Especial Robusto,100.00,8.45
Santa Damiana Selección Especial Robusto 10er Kiste,0.00,84.49
Santa Damiana Selección Especial Torpedo,100.00,9.16
Santa Damiana Selección Especial Torpedo 10er Kiste,0.00,91.63
Santa Damiana Vintage Maduro Corona Glas-Tube,100.00,8.57
Santa Damiana Vintage Maduro Corona Glas-Tube 12er Kiste,0.00,102.82
Santa Damiana Vintage Maduro Mini Belicoso,100.00,8.81
Santa Damiana Vintage Maduro Mini Belicoso 10er Kiste,0.00,88.06
Santa Damiana Vintage Maduro Robusto,100.00,8.09
Santa Damiana Vintage Maduro Robusto 10er Kiste,0.00,80.92